,id,original_title,tags,vote_average
0,19995,Avatar,in the 22nd century a paraplegic marine be dispatch to the moon pandora on a unique mission but become torn between follow order and protect an alien civilization action adventure fantasy science_fiction culture_clash future space_war space_colony society space_travel futuristic romance space alien tribe alien_planet cgi marine soldier battle love_affair anti_war power_relations mind_and_soul 3d sam_worthington zoe_saldana sigourney_weaver stephen_lang michelle_rodriguez james_cameron,7.2
1,285,Pirates of the Caribbean: At World's End,captain barbossa long believe to be dead have come back to life and be head to the edge of the earth with will turner and elizabeth swann but nothing be quite a it seem adventure fantasy action ocean drug_abuse exotic_island east_india_trading_company love_of_one's_life traitor shipwreck strong_woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny_depp orlando_bloom keira_knightley stellan_skarsgård chow_yun-fat gore_verbinski,6.9
2,206647,Spectre,a cryptic message from bond’s past sends him on a trail to uncover a sinister organization while m battle political force to keep the secret service alive bond peel back the layer of deceit to reveal the terrible truth behind spectre action adventure crime spy based_on_novel secret_agent sequel mi6 british_secret_service united_kingdom daniel_craig christoph_waltz léa_seydoux ralph_fiennes monica_bellucci sam_mendes,6.3
3,49026,The Dark Knight Rises,follow the death of district attorney harvey dent batman assume responsibility for dent's crime to protect the late attorney's reputation and be subsequently hunt by the gotham city police department eight year later batman encounter the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelm gotham's fine the dark knight resurfaces to protect a city that have brand him an enemy action crime drama thriller dc_comics crime_fighter terrorist secret_identity burglar hostage_drama time_bomb gotham_city vigilante cover-up superhero villainess tragic_hero terrorism destruction catwoman cat_burglar imax flood criminal_underworld batman christian_bale michael_caine gary_oldman anne_hathaway tom_hardy christopher_nolan,7.6
4,49529,John Carter,john carter be a war-weary former military captain who's inexplicably transport to the mysterious and exotic planet of barsoom (mars) and reluctantly become embroil in an epic conflict it's a world on the brink of collapse and carter rediscovers his humanity when he realize the survival of barsoom and it people rest in his hand action adventure science_fiction based_on_novel mar medallion space_travel princess alien steampunk martian escape edgar_rice_burroughs alien_race superhuman_strength mars_civilization sword_and_planet 19th_century 3d taylor_kitsch lynn_collins samantha_morton willem_dafoe thomas_haden_church andrew_stanton,6.1
5,559,Spider-Man 3,the seemingly invincible spider-man go up against an all-new crop of villain – include the shape-shifting sandman while spider-man’s superpower be alter by an alien organism his alter ego peter parker deal with nemesis eddie brock and also get catch up in a love triangle fantasy action adventure dual_identity amnesia sandstorm love_of_one's_life forgiveness spider wretch death_of_a_friend egomania sand narcism hostility marvel_comic sequel superhero revenge tobey_maguire kirsten_dunst james_franco thomas_haden_church topher_grace sam_raimi,5.9
6,38757,Tangled,when the kingdom's most wanted-and most charming-bandit flynn rider hide out in a mysterious tower he's take hostage by rapunzel a beautiful and feisty tower-bound teen with 70 foot of magical golden hair flynn's curious captor who's look for her ticket out of the tower where she's be lock away for year strike a deal with the handsome thief and the unlikely duo set off on an action-packed escapade complete with a super-cop horse an over-protective chameleon and a gruff gang of pub thug animation family hostage magic horse fairy_tale musical princess animation tower blonde_woman selfishness healing_power based_on_fairy_tale duringcreditsstinger healing_gift animal_sidekick zachary_levi mandy_moore donna_murphy ron_perlman m c _gainey byron_howard,7.4
7,99861,Avengers: Age of Ultron,when tony stark try to jumpstart a dormant peacekeeping program thing go awry and earth’s mighty hero be put to the ultimate test a the fate of the planet hang in the balance a the villainous ultron emerge it be up to the avenger to stop him from enact his terrible plan and soon uneasy alliance and unexpected action pave the way for an epic and unique global adventure action adventure science_fiction marvel_comic sequel superhero based_on_comic_book vision superhero_team duringcreditsstinger marvel_cinematic_universe 3d robert_downey_jr chris_hemsworth mark_ruffalo chris_evans scarlett_johansson joss_whedon,7.3
8,767,Harry Potter and the Half-Blood Prince,a harry begin his sixth year at hogwarts he discover an old book mark a 'property of the half-blood prince' and begin to learn more about lord voldemort's dark past adventure fantasy family witch magic broom school_of_witchcraft wizardry apparition teenage_crush werewolf daniel_radcliffe rupert_grint emma_watson tom_felton michael_gambon david_yates,7.4
9,209112,Batman v Superman: Dawn of Justice,fear the action of a god-like super hero leave unchecked gotham city’s own formidable forceful vigilante take on metropolis’s most revered modern-day savior while the world wrestle with what sort of hero it really need and with batman and superman at war with one another a new threat quickly arise put mankind in great danger than it’s ever know before action adventure fantasy dc_comics vigilante superhero based_on_comic_book revenge super_powers clark_kent bruce_wayne dc_extended_universe ben_affleck henry_cavill gal_gadot amy_adams jesse_eisenberg zack_snyder,5.7
10,1452,Superman Returns,superman return to discover his 5-year absence have allow lex luthor to walk free and that those he be close too felt abandon and have move on luthor plot his ultimate revenge that could see million kill and change the face of the planet forever as well a rid himself of the man of steel adventure fantasy action science_fiction saving_the_world dc_comics invulnerability sequel superhero based_on_comic_book kryptonite super_powers superhuman_strength lex_luthor brandon_routh kevin_spacey kate_bosworth james_marsden parker_posey bryan_singer,5.4
11,10764,Quantum of Solace,quantum of solace continue the adventure of james bond after casino royale betray by vesper the woman he love 007 fight the urge to make his late mission personal pursue his determination to uncover the truth bond and m interrogate mr white who reveal that the organization that blackmail vesper be far more complex and dangerous than anyone have imagine adventure action thriller crime kill undercover secret_agent british_secret_service daniel_craig olga_kurylenko mathieu_amalric judi_dench giancarlo_giannini marc_forster,6.1
12,58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work his way out of a blood debt with the ghostly davey jones he also attempt to avoid eternal damnation adventure fantasy action witch fortune_teller bondage exotic_island monster captain card_game east_india_trading_company compass ship daughter pirate swashbuckler aftercreditsstinger johnny_depp orlando_bloom keira_knightley stellan_skarsgård bill_nighy gore_verbinski,7.0
13,57201,The Lone Ranger,the texas rangers chase down a gang of outlaw lead by butch cavendish but the gang ambush the ranger seemingly kill them all one survivor be find however by an american indian name tonto who nurse him back to health the ranger don a mask and rid a white stallion name silver team up with tonto to bring the unscrupulous gang and others of that ilk to justice action adventure western texas horse survivor texas_ranger partner outlaw escape lawyer train lone_ranger comanche the_lone_ranger tonto johnny_depp armie_hammer william_fichtner helena_bonham_carter james_badge_dale gore_verbinski,5.9
14,49521,Man of Steel,a young boy learn that he have extraordinary power and be not of this earth a a young man he journey to discover where he come from and what he be send here to do but the hero in him must emerge if he be to save the world from annihilation and become the symbol of hope for all mankind action adventure fantasy science_fiction saving_the_world dc_comics superhero based_on_comic_book superhuman alien_invasion reboot super_powers dc_extended_universe henry_cavill amy_adams michael_shannon kevin_costner diane_lane zack_snyder,6.5
15,2454,The Chronicles of Narnia: Prince Caspian,one year after their incredible adventure in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life have be threaten by the evil king miraz now with the help of a colorful cast of new character include trufflehunter the badger and nikabrik the dwarf the pevensie clan embark on an incredible quest to ensure that narnia be return to it rightful heir adventure family fantasy based_on_novel fictional_place brother_sister_relationship lion human_being wretch leap_in_time matter_of_life_and_death faith uncle narnia fantasy_world ben_barnes william_moseley anna_popplewell skandar_keynes georgie_henley andrew_adamson,6.3
16,24428,The Avengers,when an unexpected enemy emerges and threaten global safety and security nick fury director of the international peacekeeping agency know a s h i e l d find himself in need of a team to pull the world back from the brink of disaster span the globe a daring recruitment effort begins! science_fiction action adventure new_york shield marvel_comic superhero based_on_comic_book alien_invasion superhero_team aftercreditsstinger duringcreditsstinger marvel_cinematic_universe robert_downey_jr chris_evans mark_ruffalo chris_hemsworth scarlett_johansson joss_whedon,7.4
17,1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow cross path with a woman from his past and he's not sure if it's love -- or if she's a ruthless con artist who's use him to find the fabled fountain of youth when she force him aboard the queen anne's revenge the ship of the formidable pirate blackbeard jack find himself on an unexpected adventure in which he doesn't know who to fear more: blackbeard or the woman from his past adventure action fantasy sea captain mutiny sword prime_minister sail silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnny_depp penélope_cruz ian_mcshane kevin_mcnally geoffrey_rush rob_marshall,6.4
18,41154,Men in Black 3,agent j (will smith) and k (tommy lee jones) be back in time j have see some inexplicable thing in his 15 year with the men in black but nothing not even alien perplexes him as much a his wry reticent partner but when k's life and the fate of the planet be put at stake agent j will have to travel back in time to put thing right j discovers that there be secret to the universe that k never tell him - secret that will reveal themselves a he team up with the young agent k (josh brolin) to save his partner the agency and the future of humankind action comedy science_fiction time_travel time_machine alien fictional_government_agency seeing_the_future changing_history will_smith tommy_lee_jones josh_brolin michael_stuhlbarg emma_thompson barry_sonnenfeld,6.2
19,122917,The Hobbit: The Battle of the Five Armies,immediately after the event of the desolation of smaug bilbo and the dwarf try to defend erebor's mountain of treasure from others who claim it: the men of the ruin laketown and the elf of mirkwood meanwhile an army of orcs lead by azog the defiler be march on erebor fuel by the rise of the dark lord sauron dwarves elf and men must unite and the hope for middle-earth fall into bilbo's hand action adventure fantasy corruption elves dwarf orcs middle-earth_(tolkien) hobbit dragon battle unlikely_friendship epic_battle sword_and_sorcery martin_freeman ian_mckellen richard_armitage ken_stott graham_mctavish peter_jackson,7.1
